company_id,name,description,company_size,state,country,city,zip_code,address,url
76623,NetDocuments,"NetDocuments is enterprise content management in the cloud. Small to large organizations, including many of the Am Law 100 firms, rely on NetDocuments’ modern, secure solution for intelligent and confidential document and email management. With decades of document management experience, NetDocuments continually enhances the application, providing customer firms the most innovative solution for document and email management available in the market today. By eliminating on-premises or hosted system hardware and moving into the security of the cloud, the IT burden is dramatically decreased, reducing the cost and complexity of the DMS.

No other cloud-based document management solution is more secure than NetDocuments. Data security and strict digital asset protection are key differentiators of the service that allow law firms and other industries with strict compliance and security guidelines to confidently store and collaborate on their documents and email. Additionally, our powerful integrations with Microsoft Office allow for smart editing, drafting, searching, and version control. Extranets, secure links, and client portals provide collaboration and security to outside parties who need real time access to their documents.

The pillars of our service include mobility, secure collaboration, disaster recovery, and compliance, and our SaaS (subscription-as-a-service) model requires us to proactively engage with our customers, ensuring we are meeting stringent requirements on a day-to-day basis. This includes managing a robust network for technical support and communities to share knowledge and insight regarding best practices.",3,Utah,US,Lehi,84043,2500 W Executive Parkway,https://www.linkedin.com/company/netdocuments
89765,Denave,"We are revenue AI-X-lerators. Tailored demand generation outreach methodologies, AI, automation, smart leverages, and unparalleled customer experience form the core of everything we do. We are focused on productivity, efficiency, maximised conversions, and the best possible ROI for our clients. Founded in 1999, we've pivoted to become a leading AI-powered revenue acceleration solutions provider, helping enterprises unlock measurable growth.

Our award-winning approach leverages GenAI methodologies and omnichannel services to empower GTM & revenue teams. We use predictive and assistive AI to:
•Uncover deep buyer insights
•Personalize outreach at scale
•Fast-track sales cycles
•Unlock new revenue streams

Here's what sets us apart:
•Deep Market Expertise: We offer tailored solutions to IT, Telecom, and SaaS industries.
•Global Reach: Our 4,000+ strong workforce with reach across 5 continents, 50+ countries, and 500+ cities helps drive a global yet local outreach strategy.
•Proven Track Record: We've influenced over $7 billion in client revenue globally.
•Award-Winning Culture: We've been Great Place to Work-certified four times and are among the GPTW Top 100 Best Workplaces for Women, recognized for innovation and talent development.

Ready to reimagine your sales engine? We are always ready to chat. 

Visit www.denave.com to learn how we can accelerate your business growth.
",5,Uttar Pradesh,IN,Noida,201301,Sector 63 Road,https://www.linkedin.com/company/denave
96692,"V-Soft Consulting Group, Inc.","V-Soft Consulting, an innovative corporation specializing in Information Technology consulting; including staffing, digital, and infrastructure solutions. Trusted since 1997, we have a strong presence in the United States, Canada, and India.

At V-Soft, we set ourselves apart with an unwavering dedication to excellence. Our commitment to delivering unparalleled value is evident in our innovative solutions, robust infrastructure development, and hybrid sourcing strategies. We adhere to industry-leading agile practices to ensure optimal outcomes for our clients.

Follow us to stay up to date on our latest achievements, industry insights, and career opportunities. Together, we can continue to drive innovation and success in the world of technology.",5,Kentucky,US,Louisville,40223,2550 Eastpoint Parkway,https://www.linkedin.com/company/vsoftconsulting
128707,Taboola,"Taboola powers recommendations for the open web, helping people discover things they may like. The company’s platform, powered by artificial intelligence, is used by digital properties, including websites, devices and mobile apps, to drive monetization and user engagement. Taboola has long-term partnerships with some of the top digital properties in the world, including CNBC, NBC News, Business Insider, The Independent and El Mundo. More than 15,000 advertisers use Taboola to reach over 600 million daily active users in a brand-safe environment. The company has offices in 22 cities worldwide, including New York and Tel Aviv.",5,NY,US,New York,10010,16 Madison Sq W,https://www.linkedin.com/company/taboola
146873,Optima Connections Limited,"Optima Connections is established as a leading Search and Recruitment consultancy specialising in the provision of high-calibre IT and Quantitative professionals to the technology and banking sectors for 30 years. Optima understands a client’s requirements and endeavours to gain a complete picture of the company culture, direction and the impact these factors have on specific opportunities. The end result is an unparalleled level of individual service, whether recruiting for a global player or innovative start-up, at graduate or director level.

We have become a trusted recruitment partner and advisor to the major names in the global market place as well as being instrumental in the growth and development of niche firms and start-ups working closely with them to acquire the best possible talent

Experienced Consultants
Fundamental to our success is our selection and training and development of recruitment consultants with a background in IT and Financial Markets. We have a culture of genuine enthusiasm for the evolution in technology and financial markets and a genuine empathy with our clients.",1,Buckinghamshire,GB,Wooburn Green,HP10 0PF,Unit 20A,https://www.linkedin.com/company/optima-connections
164008,GlobalLogic,"GlobalLogic, a Hitachi Group Company, is a full-lifecycle product development services leader that combines chip-to-cloud software engineering expertise and vertical industry experience to help our customers design, build, and deliver their next generation products and digital experiences. We expertly integrate design, complex engineering, and agile delivery capabilities to produce superior business outcomes for global brands. Headquartered in Silicon Valley, GlobalLogic operates design studios and engineering centers around the world, extending the benefits of our true global presence to customers in the telecom, automotive, healthcare, technology, media and entertainment, manufacturing, and semiconductor industries.",7,CA,US,Santa Clara,95054,2535 Augustine Drive,https://www.linkedin.com/company/globallogic
167445,italki,"What We Do
italki is the global language learning marketplace that brings students and teachers together for 1-on-1 and Group-class online language lessons. There’s nothing we’re more passionate about than helping our over 10 million language learners to become fluent in the language of their choice. Our 30,000+ teachers from 180 countries take learning beyond grammar tables and vocab lists. 

Our Vission
To help people become fluent in foreign languages by building connections with people from other cultures.

Our Mission
To build the world's best community-driven language education platform.

Who We Are
Joining italki means you’ll become part of a fast-paced tech company with a global mindset. Our team of diverse experts from 16 countries uses their wealth of knowledge and experience to bring a wide array of cultures together to build a global language learning community. We want people with a can-do, never-give-up attitude who can bring something special to the table. italki gives you space to grow both professionally and personally. We have a dynamic and fast-paced environment and are always looking for ways to improve, change and innovate. 

What We Offer
We give our team members the tools for success and provide a space to help you achieve your full potential. We love to share ideas and knowledge with one another and cultivate a culture of open discussion. 

Our Office’s Location: Shanghai, China and Madrid, Spain",2,0,ES,Madrid,0,0,https://www.linkedin.com/company/italki
210064,Genpact,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose – the relentless pursuit of a world that works better for people – we serve and transform leading enterprises, including the Fortune Global 500, with our deep business and industry knowledge, digital operations services, and expertise in data, technology, and AI. 
Get to know us at genpact.com and on LinkedIn, X, YouTube, and Facebook. 


Get to know us at www.genpact.com and on the following social handles:
X: https://twitter.com/genpact
Facebook: https://www.facebook.com/ProudToBeGenpact/
Instagram: https://www.instagram.com/genpact_global/
YouTube: https://www.youtube.com/@GenpactGlobal

** Beware of fake offers**
Genpact never requires applicants to pay to be part of our hiring process.
If you receive an email asking you to purchase a starter kit, equipment, or training, or to pay to apply for a role, you can assume that the message is a scam. For more information on careers at Genpact, please visit us at https://www.genpact.com/careers",7,NY,US,New York,10036,1155,https://www.linkedin.com/company/genpact
210122,Acuvate,"Acuvate is a global software service provider with over 18 years of experience in digital solutions, accelerating enterprise-wide digital transformation with our AI accelerators. We provide solutions and services that modernize, automate and support enterprise applications, IT systems, and infrastructure.  We have a strong presence in the US, Europe, and APAC, where we serve multiple ultra-large customers with over $20B revenue. With our multi-skilled experts and packaged AI accelerators, we deliver unparalleled efficiencies and accelerate time-to-value for our customers. 

Acuvate is a pioneer in providing benchmark IT services and business-critical solutions for various verticals. We specialize in Migration & Modernization of Content, Data, Infrastructure, and Digital Workplace Solutions such as AI-powered Chatbots, Intranets, Advanced analytics, & Trade Promotion Optimization that helps in improving communication, collaboration, and productivity at an enterprise level. Our unique consultative approach helps our customers run their business efficiently, and our AI-driven managed services ensure 100% uninterrupted business operations.

Acuvate is a Microsoft Gold certified partner with Microsoft bot framework, Microsoft Azure, Office 365, SharePoint, business intelligence, advanced analytics, Power BI being our core areas of expertise. We are a preferred partner of several Fortune 500 companies and have digitally transformed more than 200 reputed enterprises worldwide and counting. Our long-term relations with our customers are a result of our commitment to the timelines, quality deliverables and are a testimony to the trust our client has in us.
",3,England,GB,London,W2 6BD,Paddington Street,https://www.linkedin.com/company/acuvate
222949,WSP,"We are one of the world’s leading professional services firms, uniting our engineering, advisory and science-based expertise to shape communities to advance humanity. ​

​From local beginnings to a globe-spanning presence today, we operate in over 50 countries and employ approximately 73,000 professionals, known as Visioneers. ​

Together they pioneer solutions and deliver innovative projects across sectors: Transport & Infrastructure, Property & Buildings, Earth & Environment, Water, Power & Energy and Mining & Metals. ​
​
Together let’s unlock potential everywhere.​

#WeAreWSP​",7,Quebec,CA,Montreal,H3H 1P9,"1600, boul. René-Lévesque ouest",https://www.linkedin.com/company/wsp
276981,Vertex Inc.,"The rapid changes taking place in today’s global business, technology, and regulatory environments are having a compounding effect on the complexity of indirect tax management and putting more pressure on the corporate tax function than ever before. This complexity demands intelligent solutions that enable businesses to satisfy tax obligations and support growth opportunities.

The Trusted Leader in Tax Technology 

We're Vertex (VERX). A pioneer in tax automation for more than 40 years. We proudly serve over 4,000 customers worldwide with distinction and provide comprehensive tax solutions that enable global businesses to transact, comply and grow with confidence. 

Our software, content and services address the increasing complexities of global commerce and compliance by reducing friction, enhancing transparency and enabling greater confidence in meeting indirect tax obligations. As a result, our software is ubiquitous within our customers’ business systems, touching nearly every line item of every transaction that an enterprise can conduct. Our software is fueled by over 300 million data-driven effective tax rules and supports indirect tax compliance in more than 19,000 jurisdictions worldwide.

We partner with the world’s most respected companies and harness their strengths to deliver the best tax technology solution to businesses across the globe. We integrate with key technology partners that span ERP, CRM, procurement, billing, POS and e-commerce platforms. We also work closely with over 50 tax, accounting and consulting firms to provide the integrated tax technology solutions. 

Our culture is the foundation of everything we do, guided by a common purpose to build trusted relationships at work, in business and in our communities. We strive to be a values-driven employer of choice who attracts, retains and inspires talented professionals to achieve their full potential. We employ over 1,100 full-time professionals today in the US, Europe and Brazil. ",5,PA,US,King of Prussia,19406,2301 Renaissance Blvd,https://www.linkedin.com/company/vertex-inc.
292819,XPT Software,"XPT (eXtreme Performance Team) Consultancy and Software Services Private Limited is incorporated with the objective to deliver technology solutions and services to global customers. XPT Software is headquartered at Bangalore – the IT hub of the world. XPT software provides services and solution for developing Innovative systems and products in the areas of Wireless communication, Network solutions, Automotive and Aerospace Domains, Health care, Consumer electronics, Multimedia and Applications. XPT Software believes in building strategic long-term customer relationships.",2,0,DE,Berlin,0,"Dahnstraße 4, 13403",https://www.linkedin.com/company/xpt-software
333967,JustAnswer,"JustAnswer (www.justanswer.com) is the world’s leading expert marketplace, connecting more than 16 million people worldwide with doctors, lawyers, and more. We are revolutionizing professional services by making fast, affordable expert help accessible to people everywhere. 

For more information about the company, please visit the JustAnswer website at www.justanswer.com.

To find out the current job openings and apply, please visit our careers page: http://ww2.justanswer.com/careers.",4,California,US,Covina,91723,440 N Barranca Ave,https://www.linkedin.com/company/justanswer
419519,Koenig Solutions Pvt. Ltd.,"Koenig Solutions: Your Trusted Training Partner 

For over 3 decades, learners have been at the heart of everything we do. Our 'I<O' emblem isn't just a logo, it symbolizes that I (us) is less than O (others), which aligns with our Kustomer (Koenig’s Customer) Obsession. 

Why Choose Koenig Solutions? 

Industry Leaders: We partner with tech titans like Microsoft, AWS, and Oracle, ensuring you receive the most up-to-date and relevant training. 

Unmatched Flexibility: We offer a variety of flexible training options to fit your busy schedule. 

Expert Guidance: Our team of over 300 experienced trainers is dedicated to your success. 

Unparalleled Course Selection: Explore over 5000 courses across diverse fields. Gain valuable insights with our free demos before you commit. 

Pioneering Innovation: We leverage AI to personalize your learning experience and introduce the unique Fluid Classroom Concept, maximizing your learning potential. 

Our Vision: Our vision is to create a more just and prosperous world by making education easily accessible for all. 

Our Mission: For over 30 years, Koenig Solutions has empowered individuals to achieve their Money, Respect, and Peace of Mind (MRP) goals. We believe everyone deserves a better life, and we equip individuals with the skills and confidence they need to get there. 

Our Learning Options: We offer a variety of learning options to cater to diverse learning styles. Choose from Live Online Classroom (ILO), Classroom Training at popular global destinations, Fly-me-a-Trainer (FMAT), or convenient Flexi (self-paced learning) options. 

Our Journey: Founded in 1993 by Mr. Rohit Aggarwal, Koenig Solutions has transformed from a local training provider to India's leading education powerhouse today, with a global presence in over 12 countries. 

Recognition: Awarded Microsoft's Learning Partner of the Year and listed in Limca Book of Records, among many others. 

Let's unlock your potential and shape your future together!",4,Haryana,IN,Gurugram,122022,"Emaar The Palm Spring Plaza,DLF Phase 5, Sector 54",https://www.linkedin.com/company/koenig-solutions
503712,ReturnPro formerly goTRG,"Solving returns for retailers, brands and 3P sellers.",5,FL,US,Miami,33180,20200 W Dixie Hwy,https://www.linkedin.com/company/returnpro1
575811,Burtch Works,"Welcome to BW (Burtch Works), where we're on a shared mission to build a world that works better for everyone. Specializing in the dynamic spheres of Data Science, AI, Machine Learning, Data Engineering, and Market Research, we're not just a recruitment agency — we're architects of the modern data and analytics landscape.

At BW, our approach blends human expertise with the efficiency of our Staffing Platform, making us uniquely equipped to navigate the fast-paced world of data. Whether you're a Fortune 50 company or a growing startup, our tailored talent solutions ensure you stay ahead in the game.

For job seekers, we're more than just a path to new opportunities. We take a personalized approach to understand your skills, ambitions, and career goals. Our aim? To connect you with roles that not only match your expertise but also propel your professional growth.

For businesses, BW is synonymous with building cutting-edge data and analytics teams. Our consultative strategy delves deep into your unique challenges, enabling us to deliver talent solutions that are not just effective but also transformative.

Our insights and market expertise have earned us accolades and recognition from Forbes and various prestigious publications. We're not just recognized experts in our field; we're pioneers shaping the future of recruitment in data and AI.

Join us at BW as we continue to forge paths in this exciting technological era. Whether you're looking to advance your career or seeking the right talent to elevate your team, we're here to make it happen.",1,IL,US,Chicago,60610,0,https://www.linkedin.com/company/burtch-works
729713,Seattle New Media,"Seattle New Media is a leading website development agency with offices in Seattle, WA and Orlando, FL.  We have more than a decade of combined experience providing future-focused solutions to world-class businesses.  We help SaaS, enterprise-level to mid-size companies build Webflow websites with beautiful Figma designs, develop and implement SEO strategies, and more.  Leveraging the efficiency of low-code and no-code platforms, we help businesses set up the necessary integrations to scale their business. ",1,Washington,US,Seattle,98107,5608 17th Ave NW,https://www.linkedin.com/company/seattle-new-media
